entity_id,name,label,aliases,source,evidence,confidence,pending_review
Person:alan_mathison_turing,Alan Mathison Turing,Person,Alan Mathison Turing,wikipedia,"""Alan Mathison Turing"". | Alan Mathison Turing (; 23 June 1912 – 7 June 1954) was an English mathematician, computer scientist, logician, cryptanalyst, philosopher and theoretical biologist.",medium,false
Theory:turing_machine,Turing machine,Theory,Turing machine,wikipedia,"""Alan's task was to embody the logical design of a Turing machine in a network of relay-operated switches ..."" (Hodges p. | (The Church–Turing thesis hypothesises this to be true for any kind of machine: that anything that can be ""computed"" can be computed by some Turing machine.) | 11 S.D – Standard Description: a sequence of symbols A, C, D, L, R, N, “;” on a Turing machine tape | A Turing machine is a mathematical model of computation describing an abstract machine that manipulates symbols on a strip of tape according to a table of rules. | A Turing machine is an idealised model of a central processing unit (CPU) that controls all data manipulation done by a computer, with the canonical machine using sequential memory to store data. | A Turing machine is equivalent to a single-stack pushdown automaton (PDA) that has been made more flexible and concise by relaxing the last-in-first-out (LIFO) requirement of its stack. | A Turing machine that is able to simulate any other Turing machine is called a universal Turing machine (UTM, or simply a universal machine). | A state register that stores the state of the Turing machine, one of finitely many. | All these contributions involve proofs that the models are computationally equivalent to the Turing machine; such models are said to be Turing complete. | An attempt to better understand the notion of ""effective computability"" led Robin Gandy (Turing's student and friend) in 1980 to analyze machine computation (as opposed to human-computation acted out by a Turing machine). | An example of this is binary search, an algorithm that can be shown to perform more quickly when using the RASP model of computation rather than the Turing machine model. | Anything a real computer can compute, a Turing machine can also compute. | As with a real computer program, it is possible for a Turing machine to go into an infinite loop which will never halt. | By 1963–1964 Gödel would disavow Herbrand–Gödel recursion and the λ-calculus in favor of the Turing machine as the definition of ""algorithm"" or ""mechanical procedure"" or ""formal system"". | Common equivalent models are the multi-tape Turing machine, multi-track Turing machine, machines with input and output, and the non-deterministic Turing machine (NDTM) as opposed to the deterministic Turing machine (DTM) for which the action table has at most one entry for each combination of symbol and state. | Consequently, the quantum complexity-theoretic Church–Turing thesis states: ""A quantum Turing machine can efficiently simulate any realistic model of computation."" | Following Hopcroft & Ullman (1979), a (one-tape) Turing machine can be formally defined as a 7-tuple | For example, a Turing machine describing an algorithm may have a few hundred states, while the equivalent deterministic finite automaton (DFA) on a given real machine has quadrillions. | For example: ""A Turing machine can simulate any type of subroutine found in programming languages, including recursive procedures and any of the known parameter-passing mechanisms"" (Hopcroft and Ullman p. | For examples see Turing machine examples. | Given a Turing machine M and an arbitrary string s, it is generally not possible to decide whether M will eventually produce s. | Given a suitable encoding of the natural numbers as sequences of symbols, a function on the natural numbers is called Turing computable if some Turing machine computes the corresponding function on encoded natural numbers. | He was highly influential in the development of theoretical computer science, providing a formalisation of the concepts of algorithm and computation with the Turing machine, which can be considered a model of a general-purpose computer. | He went on to prove that there was no solution to the decision problem by first showing that the halting problem for Turing machines is undecidable: it is not possible to decide algorithmically whether a Turing machine will ever halt. | However, given a finite amount of time, a Turing machine (like a real machine) can only manipulate a finite amount of data. | In addition, a Turing machine is also equivalent to a two-stack PDA with standard LIFO  semantics, by using one stack to model the tape left of the head and the other stack for the tape to the right. | In it he stated another notion of ""effective computability"" with the introduction of his a-machines (now known as the Turing machine abstract computational model). | In order to make the above example completely rigorous, one would have to carefully construct a Turing machine, or λ-function, or carefully invoke recursion axioms, or at best, cleverly invoke various theorems of computability theory. | In particular, computational complexity theory makes use of the Turing machine: | In principle, it is possible to model this by having an external agent read from the tape and write to it at the same time as a Turing machine, but this rarely matches how interaction actually happens; therefore, when describing interactivity, alternatives such as I/O automata are usually preferred. | In terms of computational complexity, a multi-tape universal Turing machine need only be slower by logarithmic factor compared to the machines it simulates. | In the 1950s Hao Wang and Martin Davis greatly simplified the one-tape Turing-machine model (see Post–Turing machine). | In the context of formal language theory, a Turing machine (automaton) is capable of enumerating some arbitrary subset of valid strings of an alphabet. | In the early to mid-1950s Hao Wang and Marvin Minsky reduced the Turing machine to a simpler form (a precursor to the Post–Turing machine of Martin Davis); simultaneously European researchers were reducing the new-fangled electronic computer to a computer-like theoretical object equivalent to what is now being called a ""Turing machine"". | In the example below we will actually construct a simple ""theorem""—a little Post–Turing machine program ""run it"". | In the late 1950s and early 1960s, the coincidentally parallel developments of Melzak and Lambek (1961), Minsky (1961), and Shepherdson and Sturgis (1961) carried the European work further and reduced the Turing machine to a more friendly, computer-like abstract model called the counter machine; Elgot and Robinson (1964), Hartmanis (1971), Cook and Reckhow (1973) carried this work even further with the register machine and random-access machine models—but basically all are just multi-tape Turing machines with an arithmetic-like instruction set. | It also included a notion of a 'Universal Machine' (now known as a universal Turing machine), with the idea that such a machine could perform the tasks of any other computation machine (as indeed could Church's lambda calculus). | It has been proved for instance that a (multi-tape) universal Turing machine only suffers a logarithmic slowdown factor in simulating any Turing machine. | It states that a function on the natural numbers can be calculated by an effective method if and only if it is computable by a Turing machine. | It states: ""'Reasonable' machines can simulate each other within a polynomially bounded overhead in time and a constant-factor overhead in space."" The thesis originally appeared in a paper at STOC'84, which was the first paper to show that polynomial-time overhead and constant-space overhead could be simultaneously achieved for a simulation of a Random Access Machine on a Turing machine. | It states: ""A probabilistic Turing machine can efficiently simulate any realistic model of computation."" The word 'efficiently' here means up to polynomial-time reductions. | It was Turing's doctoral advisor, Alonzo Church, who later coined the term ""Turing machine"" in a review. | Jack Copeland states that it is an open empirical question whether there are actual deterministic physical processes that, in the long run, elude simulation by a Turing machine; furthermore, he states that it is an open empirical question whether any such processes are involved in the working of the human brain. | Like a Turing machine, a real machine can have its storage space enlarged as needed, by acquiring more disks or other storage media. | Like the universal Turing machine, the RASP stores its ""program"" in ""memory"" external to its finite-state machine's ""instructions"". | Many machines that might be thought to have more computational capability than a simple universal Turing machine can be shown to have no more power (Hopcroft and Ullman p. | Next, Kleene proceeds to present ""Turing's thesis"", where results are shown to be uncomputable, using his simplified derivation of a Turing machine based on the work of Emil Post. | Other formalisms (besides recursion, the λ-calculus, and the Turing machine) have been proposed for describing effective calculability/computability. | Our example is based on a modified Post–Turing machine model of a Turing Machine. | The 7-tuple for the 3-state busy beaver looks like this (see more about this busy beaver at Turing machine examples): | The Turing machine can equivalently be defined as a model that recognises valid input strings, rather than enumerating output strings. | The Turing machine mathematically models a machine that mechanically operates on a tape. | The Turing machine was invented in 1936 by Alan Turing, who called it an ""a-machine"" (automatic machine). | The difference lies only with the ability of a Turing machine to manipulate an unbounded amount of data. | The shift left and shift right operations may shift the tape head across the tape, but when actually building a Turing machine it is more practical to make the tape slide back and forth under the head instead. | The tape is assumed to be arbitrarily extendable to the left and to the right, so that the Turing machine is always supplied with as much tape as it needs for its computation. | The universe is equivalent to a Turing machine; thus, computing non-recursive functions is physically impossible. | The universe is not equivalent to a Turing machine (i.e., the laws of physics are not Turing-computable), but incomputable physical events are not ""harnessable"" for the construction of a hypercomputer. | The upshot of this distinction is that there are computational optimizations that can be performed based on the memory indices, which are not possible in a general Turing machine; thus when Turing machines are used as the basis for bounding running times, a ""false lower bound"" can be proven on certain algorithms' running times (due to the false simplifying assumption of a Turing machine). | This function takes an input n and returns the largest number of symbols that a Turing machine with n states can print before halting, when run with no input. | This is indeed the technique by which a deterministic (i.e., a-) Turing machine can be used to mimic the action of a nondeterministic Turing machine; Turing solved the matter in a footnote and appears to dismiss it from further consideration. | This would not however invalidate the original Church–Turing thesis, since a quantum computer can always be simulated by a Turing machine, but it would invalidate the classical complexity-theoretic Church–Turing thesis for efficiency reasons. | To establish that a function is computable by Turing machine, it is usually considered sufficient to give an informal English description of how the function can be effectively computed, and then conclude ""by the Church–Turing thesis"" that the function is Turing computable (equivalently, partial recursive). | Today, the counter, register and random-access machines and their sire the Turing machine continue to be the models of choice for theorists investigating questions in the theory of computation. | Turing completeness is the ability for a model of computation or a system of instructions to simulate a Turing machine. | Unlike the universal Turing machine, the RASP has an infinite number of distinguishable, numbered but unbounded ""registers""—memory ""cells"" that can contain any integer (cf. | What is neglected in this statement is that, because a real machine can only have a finite number of configurations, it is nothing but a finite-state machine, whereas a Turing machine has an unlimited amount of storage space available for its computations. | While the computation of a real computer is based on finite states and thus not capable to simulate a Turing machine, programming languages themselves do not necessarily have this limitation. | the off-line multitape Turing machine..., which represents the standard model for string-oriented computation, and | to convert a Universal Turing machine ""program"", and the numerical symbols on the tape (Turing's ""figures"", symbols ""1"" and ""0""), into a ""theorem""—that is, a (monstrously long) string of sentences that define the successive actions of the machine, (all) the figures of the tape, and the location of the ""tape head"". | to have the same computational power as the Turing machine model.",medium,false
Organization:king_s_college,King's College,Organization,King's College,wikipedia,"He graduated from King's College, Cambridge, and in 1938, earned a doctorate degree from Princeton University. | In the spring of 1935, Turing as a young Master's student at King's College, Cambridge, took on the challenge; he had been stimulated by the lectures of the logician M. | Later that year, Turing was elected a Fellow of King's College on the strength of his dissertation where he served as a lecturer. | The Turing Digital Archive – contains scans of some unpublished documents and material - King's College, Cambridge | There, Turing studied the undergraduate course in Schedule B from February 1931 to November 1934 at King's College, Cambridge, where he was awarded first-class honours in mathematics.",high,false
Organization:princeton_university,Princeton University,Organization,Princeton University,wikipedia,"From September 1936 to July 1938, Turing spent most of his time studying under Church at Princeton University, in the second year as a Jane Eliza Procter Visiting Fellow. | He graduated from King's College, Cambridge, and in 1938, earned a doctorate degree from Princeton University.",high,false
Event:world_war_ii,World War II,Event,World War II,wikipedia,"A 2012 London Science Museum exhibit, ""Code Breaker: Alan Turing's Life and Legacy"", marking the centenary of his birth, included a short film of statements by half a dozen participants and historians of the World War II Bletchley Park Ultra operations. | After the United States joined World War II, a number of American cryptographers were posted to Hut 3, and from May 1943 onwards there was close co-operation between British and American intelligence leading to the 1943 BRUSA Agreement which was the forerunner of the Five Eyes partnership. | After the end of World War II, the Allies sold captured Enigma machines, still widely considered secure, to developing countries. | During World War II, Turing worked for the Government Code and Cypher School at Bletchley Park, Britain's codebreaking centre that produced Ultra intelligence. | During World War II, codebooks were only used each day to set up the rotors, their ring settings and the plugboard. | During World War II, the estate housed the Government Code and Cypher School (GC&CS), which regularly penetrated the secret communications of the Axis powers –  most importantly the German Enigma and Lorenz ciphers. | Early models were used commercially from the early 1920s, and adopted by military and government services of several countries, most notably Nazi Germany before and during World War II. | Enigma I is also known as the Wehrmacht, or ""Services"" Enigma, and was used extensively by German military services and other government organisations (such as the railways) before and during World War II. | Gordon Welchman, who became head of Hut 6 at Bletchley Park, wrote: ""Hut 6 Ultra would never have got off the ground if we had not learned from the Poles, in the nick of time, the details both of the German military version of the commercial Enigma machine, and of the operating procedures that were in use."" The Polish transfer of theory and technology at Pyry formed the crucial basis for the subsequent World War II British Enigma-decryption effort at Bletchley Park, where Welchman worked. | It was employed extensively by Nazi Germany during World War II, in all branches of the German military. | Its Colossus and Tunny galleries tell an important part of allied breaking of German codes during World War II. | On entering World War II in June 1940, the Italians were using book codes for most of their military messages. | Strangely (perhaps World War II intervened) it took Post some ten years to dissect it in the Appendix to his paper Recursive Unsolvability of a Problem of Thue, 1947. | The International Museum of World War II near Boston has seven Enigma machines on display, including a U-boat four-rotor model, one of three surviving examples of an Enigma machine with a printer, one of fewer than ten surviving ten-rotor code machines, an example blown up by a retreating German Army unit, and two three-rotor Enigmas that visitors can operate to encode and decode messages. | Two machines that were acquired after the capture of U-505 during World War II are on display alongside the submarine at the Museum of Science and Industry in Chicago, Illinois. | While Turing might have been just initially curious and experimenting, quite-earnest work in the same direction was going in Germany  by Konrad Zuse (1938), and in the United States by Howard Aiken and George Stibitz (1937); the fruits of their labors were used by both the Axis and Allied militaries in World War II (cf.",high,false
Organization:bletchley_park,Bletchley Park,Organization,Bletchley Park,wikipedia,"""New hope of saving Bletchley Park for nation"". | 16 April 1942: Took lunch in car and went to see the organization for breaking down ciphers [Bletchley Park] – a wonderful set of professors and genii! | 19-minute Video interview on YouTube with Sue Black by Robert Llewellyn about Bletchley Park | A 2012 London Science Museum exhibit, ""Code Breaker: Alan Turing's Life and Legacy"", marking the centenary of his birth, included a short film of statements by half a dozen participants and historians of the World War II Bletchley Park Ultra operations. | A fictionalised version of Bletchley Park is featured in Neal Stephenson's novel Cryptonomicon (1999). | A memorial at Bletchley Park commemorates Mary and Valerie Middleton's work as code-breakers. | A rare Abwehr Enigma machine, designated G312, was stolen from the Bletchley Park museum on 1 April 2000. | After the war it had various uses and now houses the Bletchley Park museum. | Although ACE was a feasible design, the effect of the Official Secrets Act surrounding the wartime work at Bletchley Park made it impossible for Turing to explain the basis of his analysis of how a computer installation involving human operators would work. | At the end of the war, a memo was sent to all those who had worked at Bletchley Park, reminding them that the code of silence dictated by the Official Secrets Act did not end with the war but would continue indefinitely. | Bletchley Park National Code Centre Home of the British codebreakers during the Second World War Archived 9 December 2009 at the Wayback Machine | Bletchley Park Trust was set up in 1991 by a group of people who recognised the site's importance, as it was at risk of being sold off for housing. | Bletchley Park is an English country house and estate in Bletchley, Milton Keynes (Buckinghamshire), that became the principal centre of Allied code-breaking during the Second World War. | Bletchley Park is official charity of Shed Week 2010—in recognition of the work done in the Huts | Bletchley Park is the setting of Kate Quinn's 2021 historical fiction novel, The Rose Code. | Bletchley Park plays a significant role in Connie Willis' novel All Clear (2010). | Bletchley Park was featured in the sixth and final episode of the BBC TV documentary The Secret War (1977), presented and narrated by William Woodard. | Christie was friends with one of the code-breakers at Bletchley Park, and MI5 thought that the character name might have been a joke indicating that she knew what was happening there. | Codebreaking operations at Bletchley Park ended in 1946 and all information about the wartime operations was classified until the mid-1970s. | Comedy Benefit For Bletchley Park Archived 17 December 2014 at the Wayback Machine Comedians and computing professionals stage comedy show in aid of Bletchley Park | Despite the high degree of secrecy surrounding Bletchley Park during the Second World War, unique and hitherto unknown amateur film footage of the outstation at nearby Whaddon Hall came to light in 2020, after being anonymously donated to the Bletchley Park Trust. | Due to the long radio aerials stretching from the wireless room, the radio station was moved from Bletchley Park to nearby Whaddon Hall to avoid drawing attention to the site. | During World War II, Turing worked for the Government Code and Cypher School at Bletchley Park, Britain's codebreaking centre that produced Ultra intelligence. | During the Second World War, Turing was a leading participant in the breaking of German ciphers at Bletchley Park. | Enhancements were developed for the Mark 2 Colossus, the first of which was working at Bletchley Park on the morning of 1 June in time for D-day. | Enigma machines are also exhibited at the National Codes Centre in Bletchley Park, the Government Communications Headquarters, the Science Museum in London, Discovery Park of America in Tennessee, the Polish Army Museum in Warsaw, the Swedish Army Museum (Armémuseum) in Stockholm, the Military Museum of A Coruña in Spain, the Nordland Red Cross War Memorial Museum in Narvik, Norway, The Artillery, Engineers and Signals Museum in Hämeenlinna, Finland the Technical University of Denmark in Lyngby, Denmark, in Skanderborg Bunkerne at Skanderborg, Denmark, and at the Australian War Memorial and in the foyer of the Australian Signals Directorate, both in Canberra, Australia. | Gordon Welchman, who became head of Hut 6 at Bletchley Park, wrote: ""Hut 6 Ultra would never have got off the ground if we had not learned from the Poles, in the nick of time, the details both of the German military version of the commercial Enigma machine, and of the operating procedures that were in use."" The Polish transfer of theory and technology at Pyry formed the crucial basis for the subsequent World War II British Enigma-decryption effort at Bletchley Park, where Welchman worked. | He returned to Bletchley Park in March 1943. | However Bletchley Park was infiltrated by the Soviet mole John Cairncross, a member of the Cambridge Spy Ring, who leaked Ultra material to Moscow. | Ian McEwan's television play The Imitation Game (1980) concludes at Bletchley Park. | In April 2020 Bletchley Park Capital Partners, a private company run by Tim Reynolds, Deputy Chairman of the National Museum of Computing, announced plans to sell off the freehold to part of the site containing former Block G for commercial development. | In October 2005, American billionaire Sidney Frank donated £500,000 to Bletchley Park Trust to fund a new Science Centre dedicated to Alan Turing. | In October 2011, the Bletchley Park Trust received a £4.6 million Heritage Lottery Fund grant to be used ""to complete the restoration of the site, and to tell its story to the highest modern standards"" on the condition that £1.7 million of match funding is raised by the Bletchley Park Trust. | In contrast, the Soviet Union was never officially told of Bletchley Park and its activities, a reflection of Churchill's distrust of the Soviets even during the US-UK-USSR alliance imposed by the Nazi threat. | In early October 2000, Bletchley Park officials announced that they would pay the ransom, but the stated deadline passed with no word from the blackmailer. | In order to protect it, he bought two silver bars weighing 3,200 oz (90 kg) and worth £250 (in 2022, £8,000 adjusted for inflation, £48,000 at spot price) and buried them in a wood near Bletchley Park. | In the TV series Foyle's War, Adam Wainwright (Samantha Stewart's fiancé, then husband) is a former Bletchley Park codebreaker. | It features stories told by the codebreakers, staff and volunteers, audio from events and reports on the development of Bletchley Park. | It was first known as Bletchley Park after its purchase in 1877 by the architect Samuel Lipscomb Seckham, who built a house there. | Key GC&CS cryptanalysts who moved from London to Bletchley Park included John Tiltman, Dillwyn ""Dilly"" Knox, Josh Cooper, Oliver Strachey and Nigel de Grey. | Not until July 2009 did the British government fully acknowledge the contribution of the many people working at Bletchley Park. | On 4 September 1939, the day after the UK declared war on Germany, Turing reported to Bletchley Park, the wartime station of GC&CS. | On 6 November 2008 it was announced that English Heritage would donate £300,000 to help maintain the buildings at Bletchley Park, and that they were in discussions regarding the donation of a further £600,000. | Peter Hilton recounted his experience working with Turing in Hut 8 in his ""Reminiscences of Bletchley Park"" from A Century of Mathematics in America: | Previously, the construction of a National College of Cyber Security for students aged from 16 to 19 years old had been envisaged on the site, to be housed in Block G after renovation with funds supplied by the Bletchley Park Science and Innovation Centre. | Quinn used the likenesses of true veterans of Bletchley Park as inspiration for her story of three women who worked in some of the different areas at Bletchley Park. | Roll of Honour: List of the men and women who worked at Bletchley Park and the Out Stations during WW2, archived from the original on 18 May 2011, retrieved 9 July 2011 | Royal Air Force names of Bletchley Park and its outstations included RAF Eastcote, RAF Lime Grove and RAF Church Green. | Starting on 17 May 1940, they were put into operation at the British intelligence centre at Bletchley Park. | That said, occasional mentions of the work performed at Bletchley Park slipped the censor's net and appeared in print. | The Agent Carter season 2 episode ""Smoke & Mirrors"" reveals that Agent Peggy Carter worked at Bletchley Park early in the war before joining the Strategic Scientific Reserve. | The Big Finish Productions Doctor Who audio Criss-Cross, released in September 2015, features the Sixth Doctor working undercover in Bletchley Park to decode a series of strange alien signals that have hindered his TARDIS, the audio also depicting his first meeting with his new companion Constance Clarke. | The Bletchley Park Learning Department offers educational group visits with active learning activities for schools and universities. | The Bletchley Park Podcast began in August 2012, with new episodes being released approximately monthly. | The Duchess' paternal grandmother, Valerie Middleton, and Valerie's twin sister, Mary (née Glassborow), both worked at Bletchley Park during the war. | The Enigma machine was returned to Bletchley Park after the incident. | The Lorenz messages were codenamed Tunny at Bletchley Park. | The National Museum of Computing is housed in Block H, which is rented from the Bletchley Park Trust. | The Radio Society of Great Britain's National Radio Centre (including a library, radio station, museum and bookshop) are in a newly constructed building close to the main Bletchley Park entrance. | The Second World War code-breaking sitcom pilot ""Satsuma & Pumpkin"" was recorded at Bletchley Park in 2003 and featured Bob Monkhouse in his last screen role. | The Secrets of Station X: How the Bletchley Park codebreakers helped win the war. | The cryptographers at Bletchley Park did not know of the Prime Minister's response, but as Milner-Barry recalled, ""All that we did notice was that almost from that day the rough ways began miraculously to be made smooth."" More than two hundred bombes were in operation by the end of the war. | The film Enigma (2001), which was based upon Robert Harris's book and starred Kate Winslet, Saffron Burrows and Dougray Scott, is set in part in Bletchley Park. | The film The Imitation Game (2014), starring Benedict Cumberbatch as Alan Turing, is set in Bletchley Park, and was partially filmed there. | The first personnel of the Government Code and Cypher School (GC&CS) moved to Bletchley Park on 15 August 1939. | The gilded medal bears the inscription GC&CS 1939–1945 Bletchley Park and its Outstations. | The prototype first worked in December 1943, was delivered to Bletchley Park in January and first worked operationally on 5 February 1944. | The radio show Hut 33 is a situation comedy set in the fictional 33rd Hut of Bletchley Park. | The site opened to visitors in 1993, and was formally inaugurated by the Duke of Kent as Chief Patron in July 1994 and Tony Sale became the first director of the Bletchley Park Museums in 1994. | The team at Bletchley Park, 75% women, devised automatic machinery to help with decryption, culminating in the development of Colossus, the world's first programmable digital electronic computer. | These communication nets were termed keys at Bletchley Park, and were assigned code names, such as Red, Chaffinch, and Shark. | This meant that there were many operations where codes broken by Bletchley Park played an important role, but this was not present in the history of those events. | This was a teleprinter rotor cipher attachment codenamed Tunny at Bletchley Park. | Turing became a general consultant for cryptanalysis at Bletchley Park. | Turing had a reputation for eccentricity at Bletchley Park. | Until the mid 1970s the thirty year rule meant that there was no official mention of the work done at Bletchley Park. | Visits can be booked in advance during term time, where students can engage with the history of Bletchley Park and understand its wider relevance for computer history and national security. | Within weeks of arriving at Bletchley Park, Turing had specified an electromechanical machine called the bombe, which could break Enigma more effectively than the Polish bomba kryptologiczna, from which its name was derived.",high,false
Person:alan_turing,Alan Turing,Person,Alan Turing,wikipedia,"""Alan Turing – Towards a Digital Mind: Part 1"". | ""Alan Turing"". | ""Alan Turing: Father of the Modern Computer"". | ""Computer Scientist: Alan Turing"". | ""Did Alan Turing have Asperger's syndrome?"". | ""Die Maschinen von Charles Babbage, Alan Turing und John von Neumann"". | ""The Mind and the Computing Machine: Alan Turing and others"". | A posthumous pardon was not considered appropriate as Alan Turing was properly convicted of what at the time was a criminal offence. | Alan Turing invented the ""a-machine"" (automatic machine) in 1936. | Alan Turing plaques Archived 24 April 2024 at the Wayback Machine on openplaques.org | Alan Turing was driven to a terrible despair and early death by the nation he'd done so much to save. | Alan Turing was such a genius, and those, like myself, who had the astonishing and unexpected opportunity, created by the strange exigencies of the Second World War, to be able to count Turing as colleague and friend will never forget that experience, nor can we ever lose its immense benefit to us. | Alan Turing: His Work and Impact. | Alan Turing: The Enigma. | Alan Turing: en berättelse. | Denniston recognised, however, that the enemy's use of electromechanical cipher machines meant that formally trained mathematicians would also be needed; Oxford's Peter Twinn joined GC&CS in February 1939; Cambridge's Alan Turing and Gordon Welchman began training in 1938 and reported to Bletchley the day after war was declared, along with John Jeffreys. | Due to his repeated attempts to bring attention to the issue, Leech is now regularly described as the ""architect"" of Turing's pardon and subsequently the Alan Turing Law, which went on to secure pardons for 75,000 other men and women. | However, both Julius and Ethel wanted their children to be brought up in Britain, so they moved to Maida Vale, London, where Alan Turing was born on 23 June 1912, as recorded by a blue plaque on the outside of the house of his birth, later the Colonnade Hotel. | In 1936, before learning of Church's work, Alan Turing created a theoretical model for machines, now called Turing machines, that could carry out calculations from inputs by manipulating symbols on a tape. | In October 2005, American billionaire Sidney Frank donated £500,000 to Bletchley Park Trust to fund a new Science Centre dedicated to Alan Turing. | In September 2016, the government announced its intention to expand this retroactive exoneration to other men convicted of similar historical indecency offences, in what was described as an ""Alan Turing law"". | It is fair to say we owe much to Alan Turing for the fact that we are not under Nazi rule today."" | It is tragic that Alan Turing was convicted of an offence that now seems both cruel and absurd—particularly poignant given his outstanding contribution to the war effort. | It may act as an apology to many of the other gay men, not as well-known as Alan Turing, who were subjected to these laws. | It was a common topic among the members of the Ratio Club, an informal group of British cybernetics and electronics researchers that included Alan Turing. | Its pioneering design was developed by Alan Turing (with an important contribution from Gordon Welchman) and the machine was engineered by Harold 'Doc' Keen of the British Tabulating Machine Company. | Leech had led the successful campaign to pardon Alan Turing and implement Turing's Law. | Robin Gandy (1919–1995)—a student of Alan Turing (1912–1954), and his lifelong friend—traces the lineage of the notion of ""calculating machine"" back to Charles Babbage (circa 1834) and actually proposes ""Babbage's Thesis"": | The Alan Turing law is now an informal term for the law in the United Kingdom, contained in the Policing and Crime Act 2017, which serves as an amnesty law to retroactively pardon men who were cautioned or convicted under historical legislation that outlawed homosexual acts. | The GC&CS team of codebreakers included John Tiltman, Dilwyn Knox, Alan Turing, Harry Golombek, Gordon Welchman, Hugh Alexander, Donald Michie, Bill Tutte and Stuart Milner-Barry. | The Turing machine was invented in 1936 by Alan Turing, who called it an ""a-machine"" (automatic machine). | The Turing test, originally called the imitation game by Alan Turing in 1949, is a test of a machine's ability to exhibit intelligent behaviour equivalent to that of a human. | The film The Imitation Game (2014), starring Benedict Cumberbatch as Alan Turing, is set in Bletchley Park, and was partially filmed there. | The term ""Alan Turing law"" is used informally to refer to a 2017 law in the UK that retroactively pardoned men cautioned or convicted under historical legislation that outlawed homosexual acts. | The thesis is named after American mathematician Alonzo Church and the British mathematician Alan Turing. | Thousands of people have come together to demand justice for Alan Turing and recognition of the appalling way he was treated. | Turing's proof is a proof by Alan Turing, first published in November 1936 with the title ""On Computable Numbers, with an Application to the Entscheidungsproblem"". | We ask the HM Government to grant a pardon to Alan Turing for the conviction of ""gross indecency"".",high,false
Person:alonzo_church,Alonzo Church,Person,Alonzo Church,wikipedia,"Another mathematical formalism, lambda calculus, with a similar ""universal"" nature was introduced by Alonzo Church. | Between the springs of 1935 and 1936, at the same time as Alonzo Church, Turing worked on the decidability of problems, starting from Gödel's incompleteness theorems. | In 1932–33, Alonzo Church created a method for defining functions called the λ-calculus. | In 1935–36, Alonzo Church formalized the concept of effectively calculable functions by proposing that they are general recursive functions, or, equivalently, λ-definable functions. | It was Turing's doctoral advisor, Alonzo Church, who later coined the term ""Turing machine"" in a review. | The problem was that an answer first required a precise definition of ""definite general applicable prescription"", which Princeton professor Alonzo Church would come to call ""effective calculability"", and in 1928 no such definition existed. | The thesis is named after American mathematician Alonzo Church and the British mathematician Alan Turing.",high,false
Work:on_computable_numbers,On Computable Numbers,Work,On Computable Numbers,wikipedia,"""On Computable Numbers, with an Application to the Entscheidungsproblem"". | ""On Computable Numbers, with an Application to the Entscheidungsproblem. | 152–154; the original is to be found as ""On Computable Numbers, with an Application to the Entscheidungsproblem. | But what Turing did prove with his computational-machine model appears in his paper ""On Computable Numbers, with an Application to the Entscheidungsproblem"" (1937): | Finally, on 28 May of that year, he finished and delivered his 36-page paper for publication called ""On Computable Numbers, with an Application to the Entscheidungsproblem"". | In the original article (""On Computable Numbers, with an Application to the Entscheidungsproblem"", see also references below), Turing imagines not a mechanism, but a person whom he calls the ""computer"", who executes these deterministic mechanical rules slavishly (or as Turing puts it, ""in a desultory manner""). | Turing adds another definition, Rosser equates all three: Within just a short time, Turing's 1936–1937 paper ""On Computable Numbers, with an Application to the Entscheidungsproblem"" appeared. | Turing's proof is a proof by Alan Turing, first published in November 1936 with the title ""On Computable Numbers, with an Application to the Entscheidungsproblem"".",high,false
Person:john_von_neumann,John von Neumann,Person,John von Neumann,wikipedia,"""Die Maschinen von Charles Babbage, Alan Turing und John von Neumann"". | John von Neumann acknowledged that the central concept of the modern computer was due to Turing's paper. | Metropolis was the first director of computing services at Los Alamos National Laboratory; topics include the relationship between Turing and John von Neumann",high,false
