id,label,name,aliases
Person:alonzo_church_croom,Person,Alonzo Church Croom,Alonzo|Alonzo Church
Person:john_von_neumann,Person,John von Neumann,neumann
Person:gordon_welchman,Person,Gordon Welchman,welchman
Person:claude_shannon,Person,Claude Shannon,shannon
Person:hugh_alexander,Person,Hugh Alexander,
Person:adolf_gr_nbaum,Person,Adolf Grünbaum,
Person:donald_michie,Person,donald michie,michie
Person:gordon_welchm,Person,Gordon Welchm,
Person:intelligence,Person,intelligence,
Person:alan_turing,Person,alan turing,turing
Person:robin_gandy,Person,robin gandy,gandy
Person:joan_clarke,Person,Joan Clarke,
Person:max_newman,Person,max newman,
Person:i_j_good,Person,I. J. Good,
Person:alivisatos,Person,alivisatos,
Person:brazil,Person,Brazil,
Person:hodges,Person,hodges,
Person:blake,Person,blake,
Person:allen,Person,Allen,
Person:ayer,Person,ayer,
Person:auld,Person,Auld,
Location:oxfordshire,Location,oxfordshire,
Location:maida_vale,Location,maida vale,
Location:cambridge,Location,cambridge,
Location:budapest,Location,budapest,
Location:petoskey,Location,petoskey,
Location:rangoon,Location,rangoon,
Location:london,Location,london,
Organization:government_code_and_cypher_school_at,Organization,Government Code and Cypher School at,government code and cypher school
Organization:government_code_and_cypher_schoo,Organization,Government Code and Cypher Schoo,
Organization:government_code_cypher_school,Organization,Government Code & Cypher School,
Organization:princeton_university_orchestr,Organization,Princeton University Orchestr,princeton university
Organization:manchester_where_university,Organization,Manchester where University,
Organization:king_s_college_cambridge,Organization,king s college cambridge,
Organization:government_code_and_cip,Organization,Government Code and Cip,
Organization:balliol_college_oxford,Organization,balliol college oxford,
Organization:manchester_university,Organization,Manchester University,
Organization:oxford_for_university,Organization,Oxford for University,
Organization:chichester_university,Organization,Chichester University,
Organization:cambridge_university,Organization,Cambridge University,
Organization:mancheste_university,Organization,Mancheste University,
Organization:byron_university_pro,Organization,Byron University Pro,
Organization:cambridg_university,Organization,Cambridg University,
Organization:bletchley_park_park,Organization,Bletchley Park Park,Bletchley Park
Organization:bletchley_park_wher,Organization,Bletchley Park—wher,
Organization:abbotsholme_school,Organization,abbotsholme school,
Organization:development_office,Organization,Development Office,
Organization:university_college,Organization,University College,
Organization:oxford_university,Organization,oxford University,
Organization:university_place,Organization,University Place;,
Organization:foreign_office_be,Organization,Foreign Office be,Foreign Office
Organization:bletchley_park_by,Organization,Bletchley Park by,
Organization:university_school,Organization,University School,
Organization:brown_university,Organization,Brown University,
Organization:oxfor_university,Organization,Oxfor University,
Organization:downing_college,Organization,Downing College,
Organization:bell_labs_comp,Organization,Bell Labs Comp,bell labs
Organization:government_web,Organization,Government Web,
Organization:university_of,Organization,University of,
Organization:university,Organization,University &,
Organization:rugby_school,Organization,rugby school,
Organization:cappella_e,Organization,cappella e,cappella
Organization:bell_lab,Organization,Bell Lab,
Organization:abstract,Organization,Abstract,
Organization:cappell,Organization,Cappell,
Organization:abwehr,Organization,Abwehr,
Artifact:automatic_computing_engine,Artifact,automatic computing engine,
Artifact:pilot_ace,Artifact,pilot ace,
Artifact:bombe,Artifact,bombe,
Publication:applications_of_probability_to_cryptography,Publication,applications of probability to cryptography,
Publication:chemical_basis_of_morphogenesis,Publication,chemical basis of morphogenesis,
Concept:turing_test,Concept,turing test,
Event:world_war_ii,Event,world war ii,
