entity_uid,attribute_name,attribute_value,fused_sources,evidence_count
Person:alan_turing,occupation,mathematician,https://en.wikipedia.org/wiki/Alan_Turing,12
Person:alan_turing,occupation,computer scientist,https://en.wikipedia.org/wiki/Alan_Turing,12
Person:alan_turing,occupation,logician,https://en.wikipedia.org/wiki/Alan_Turing,12
Person:alan_turing,occupation,cryptanalyst,https://en.wikipedia.org/wiki/Alan_Turing,12
Person:alan_turing,occupation,philosopher,https://en.wikipedia.org/wiki/Alan_Turing,12
Person:alan_turing,occupation,theoretical biologist,https://en.wikipedia.org/wiki/Alan_Turing,12
Person:alan_turing,occupation,engineer,https://en.wikipedia.org/wiki/Alan_Turing,12
Person:alan_turing,occupation,codebreaker,https://en.wikipedia.org/wiki/Alan_Turing,12
Person:alan_turing,occupation,programmer,https://en.wikipedia.org/wiki/Alan_Turing,12
Person:alan_turing,occupation,physicist,https://en.wikipedia.org/wiki/Alan_Turing,12
Person:alan_turing,occupation,professor,https://en.wikipedia.org/wiki/Alan_Turing_Year,12
Person:alan_turing,occupation,researcher,https://en.wikipedia.org/wiki/AI_Futures_Project,12
Person:alan_turing,nationality,English,https://en.wikipedia.org/wiki/Alan_Turing,3
Person:alan_turing,nationality,German,https://en.wikipedia.org/wiki/Alan_Turing,3
Person:alan_turing,nationality,British,https://en.wikipedia.org/wiki/Alan_Turing,3
Person:alan_turing,birth_date,1912,https://en.wikipedia.org/wiki/Maida_Vale,2
Person:alan_turing,death_date,1954,https://en.wikipedia.org/wiki/Maida_Vale,2
Organization:government_code_and_cypher_school_at,org_type,school,https://en.wikipedia.org/wiki/Alan_Turing,1
Organization:bletchley_park_park,org_type,park,https://en.wikipedia.org/wiki/Alan_Turing,1
Organization:manchester_university,org_type,university,https://en.wikipedia.org/wiki/Alan_Turing,1
Organization:manchester_university,established_year,1851,https://en.wikipedia.org/wiki/University_of_Manchester,2
Organization:princeton_university_orchestr,org_type,university,https://en.wikipedia.org/wiki/Alan_Turing,1
Organization:princeton_university_orchestr,established_year,1896,https://en.wikipedia.org/wiki/Princeton_University,1
Organization:bell_labs_comp,org_type,laboratory,https://en.wikipedia.org/wiki/Alan_Turing,1
Organization:mancheste_university,org_type,university,https://en.wikipedia.org/wiki/Alan_Turing,1
Organization:foreign_office_be,org_type,office,https://en.wikipedia.org/wiki/Alan_Turing,1
