start_uid,relation,end_uid,fused_sources,evidence_count
Person:alan_turing_ce,BORN_IN,Location:london,https://en.wikipedia.org/wiki/Alan_Turing,2
Person:alan_turing_ce,EDUCATED_AT,Organization:king_s_college_cambridge,https://en.wikipedia.org/wiki/Alan_Turing,2
Person:alan_turing_ce,EDUCATED_AT,Organization:princeton_university,https://en.wikipedia.org/wiki/Alan_Turing,2
Person:alan_turing_ce,WORKED_AT,Organization:government_code_and_cypher_school,https://en.wikipedia.org/wiki/Alan_Turing,1
Person:alan_turing_ce,INVENTED,Artifact:automatic_computing_engine,https://en.wikipedia.org/wiki/Alan_Turing,3
Person:alan_turing_ce,INVENTED,Artifact:bombe,https://en.wikipedia.org/wiki/Bombe,3
Person:alan_turing_ce,INVENTED,Artifact:pilot_ace,https://en.wikipedia.org/wiki/Pilot_ACE,3
Person:alan_turing_ce,AUTHORED,Publication:chemical_basis_of_morphogenesis,https://en.wikipedia.org/wiki/Alan_Turing,2
Person:alan_turing_ce,AUTHORED,Publication:applications_of_probability_to_cryptography,https://en.wikipedia.org/wiki/Alan_Turing,2
Person:alan_turing_ce,WORKED_ON,Artifact:automatic_computing_engine,https://en.wikipedia.org/wiki/Alan_Turing,1
Person:alan_turing_ce,PROPOSED,Concept:turing_test,https://en.wikipedia.org/wiki/Alan_Turing,1
Person:alan_turing_ce,AFFECTED_BY,Event:world_war_ii,https://en.wikipedia.org/wiki/Alan_Turing_law,1
Person:alan_turing_ce,DIED_IN,Location:cambridge,https://en.wikipedia.org/wiki/Abram_Besicovitch,1
Person:alan_turing_ce,AWARDED,Honor:turing_award,https://en.wikipedia.org/wiki/Alan_Kay,1
Person:john_von_neumann,BORN_IN,Location:budapest,https://en.wikipedia.org/wiki/John_von_Neumann,1
Person:claude_shannon,BORN_IN,Location:petoskey,https://en.wikipedia.org/wiki/Claude_Shannon,1
Person:claude_shannon,WORKED_AT,Organization:bell_labs,https://en.wikipedia.org/wiki/Claude_Shannon,1
Person:max_newman,DIED_IN,Location:cambridge,https://en.wikipedia.org/wiki/Max_Newman,1
Person:max_newman,AWARDED,Honor:order_of_the_british_empire,https://en.wikipedia.org/wiki/Andrew_Wiles,1
Person:donald_michie,WORKED_AT,Organization:government_code_and_cypher_school,https://en.wikipedia.org/wiki/Donald_Michie,1
Person:donald_michie,BORN_IN,Location:rangoon,https://en.wikipedia.org/wiki/Donald_Michie,1
Person:donald_michie,EDUCATED_AT,Organization:balliol_college_oxford,https://en.wikipedia.org/wiki/Donald_Michie,1
Person:gordon_welchman,INVENTED,Artifact:bombe,https://en.wikipedia.org/wiki/Gordon_Welchman,1
Person:robin_gandy,BORN_IN,Location:oxfordshire,https://en.wikipedia.org/wiki/Robin_Gandy,1
Person:robin_gandy,EDUCATED_AT,Organization:abbotsholme_school,https://en.wikipedia.org/wiki/Robin_Gandy,1
Person:einstein,COLLEAGUE_OF,Person:einstein,https://en.wikipedia.org/wiki/Albert_Einstein,1
Person:glennie,COLLEAGUE_OF,Person:alan_turing_ce,https://en.wikipedia.org/wiki/Alick_Glennie,1
Person:hodges,BORN_IN,Location:london,https://en.wikipedia.org/wiki/Andrew_Hodges,1
Person:joan_clarke,WORKED_ON,Artifact:enigma_machine,https://en.wikipedia.org/wiki/Conel_Hugh_O%27Donel_Alexander,1
Person:hugh_alexander,EDUCATED_AT,Organization:king_s_college_cambridge,https://en.wikipedia.org/wiki/Conel_Hugh_O%27Donel_Alexander,1
Person:ayer,EDUCATED_AT,Organization:oxford_university,https://en.wikipedia.org/wiki/A._J._Ayer,1
Person:ayer,BORN_IN,Location:london,https://en.wikipedia.org/wiki/A._J._Ayer,1
Person:alonzo_church_cro,EDUCATED_AT,Organization:manchester_university,https://en.wikipedia.org/wiki/Alasdair_MacIntyre,1
Person:whitehead,FRIEND_OF,Person:whitehead,https://en.wikipedia.org/wiki/Alfred_North_Whitehead,1
Person:flew,BORN_IN,Location:london,https://en.wikipedia.org/wiki/Antony_Flew,1
Person:taub,COLLEAGUE_OF,Person:john_von_neumann,https://en.wikipedia.org/wiki/Abraham_H._Taub,1
Person:alivisatos,WORKED_AT,Organization:bell_labs,https://en.wikipedia.org/wiki/Paul_Alivisatos,1
Person:wiles,BORN_IN,Location:cambridge,https://en.wikipedia.org/wiki/Andrew_Wiles,1
Organization:oxford_university,NAMED_AFTER,Person:wiles,https://en.wikipedia.org/wiki/Andrew_Wiles,1
Person:arthur_cayley,BORN_IN,Location:london,https://en.wikipedia.org/wiki/Arthur_Cayley,1
Person:russell,EDUCATED_AT,Organization:cambridge_university,https://en.wikipedia.org/wiki/Bertrand_Russell,1
Person:russell,COLLEAGUE_OF,Person:russell,https://en.wikipedia.org/wiki/Bertrand_Russell,1
