entity_id,name,label,aliases,source
Person:alan_mathison_turing,Alan Mathison Turing,Person,Alan Mathison Turing,wikipedia
Person:june,June,Person,June,wikipedia
Person:english,English,Person,English,wikipedia
Theory:turing,Turing,Theory,Turing,wikipedia
Person:turing,Turing,Person,Turing,wikipedia
Person:born,Born,Person,Born,wikipedia
Person:london,London,Person,London,wikipedia
Person:england,England,Person,England,wikipedia
Organization:king_s_college,King's College,Organization,King's College,wikipedia
Organization:princeton_university,Princeton University,Organization,Princeton University,wikipedia
Organization:cambridge,Cambridge,Organization,Cambridge,wikipedia
Organization:bletchley_park,Bletchley Park,Organization,Bletchley Park,wikipedia
Event:world_war_ii,World War II,Event,World War II,wikipedia
Organization:during_world_war_ii,During World War II,Organization,During World War II,wikipedia
Organization:turing,Turing,Organization,Turing,wikipedia
Organization:government_code,Government Code,Organization,Government Code,wikipedia
Organization:cypher_school,Cypher School,Organization,Cypher School,wikipedia
Organization:britain_s,Britain's,Organization,Britain's,wikipedia
Organization:ultra,Ultra,Organization,Ultra,wikipedia
Person:hut,Hut,Person,Hut,wikipedia
Person:german,German,Person,German,wikipedia
Theory:german,German,Theory,German,wikipedia
Theory:polish,Polish,Theory,Polish,wikipedia
Theory:enigma,Enigma,Theory,Enigma,wikipedia
Person:allies,Allies,Person,Allies,wikipedia
Person:axis,Axis,Person,Axis,wikipedia
Person:battle,Battle,Person,Battle,wikipedia
Person:atlantic,Atlantic,Person,Atlantic,wikipedia
Organization:after,After,Organization,After,wikipedia
Organization:national_physical_laboratory,National Physical Laboratory,Organization,National Physical Laboratory,wikipedia
Organization:automatic_computing_engine,Automatic Computing Engine,Organization,Automatic Computing Engine,wikipedia
Organization:max_newman_s_computing_machine_laboratory,Max Newman's Computing Machine Laboratory,Organization,Max Newman's Computing Machine Laboratory,wikipedia
Organization:university,University,Organization,University,wikipedia
Organization:manchester,Manchester,Organization,Manchester,wikipedia
Person:belousov,Belousov,Person,Belousov,wikipedia
Person:zhabotinsky,Zhabotinsky,Person,Zhabotinsky,wikipedia
Person:despite,Despite,Person,Despite,wikipedia
Person:official_secrets_act,Official Secrets Act,Person,Official Secrets Act,wikipedia
Event:following,Following,Event,Following,wikipedia
Event:british,British,Event,British,wikipedia
Event:gordon_brown,Gordon Brown,Event,Gordon Brown,wikipedia
Event:turing,Turing,Event,Turing,wikipedia
Person:queen_elizabeth_ii,Queen Elizabeth II,Person,Queen Elizabeth II,wikipedia
Person:alan_turing,Alan Turing,Person,Alan Turing,wikipedia
Person:the,The,Person,The,wikipedia
Person:his,His,Person,His,wikipedia
Person:bank,Bank,Person,Bank,wikipedia
Person:bbc,BBC,Person,BBC,wikipedia
Person:atheist,Atheist,Person,Atheist,wikipedia
Theory:second_world_war,Second World War,Theory,Second World War,wikipedia
Person:nazi,Nazi,Person,Nazi,wikipedia
Person:maida_vale,Maida Vale,Person,Maida Vale,wikipedia
Person:julius_mathison_turing,Julius Mathison Turing,Person,Julius Mathison Turing,wikipedia
Person:indian_civil_service,Indian Civil Service,Person,Indian Civil Service,wikipedia
Person:ics,ICS,Person,ICS,wikipedia
Person:british_raj,British Raj,Person,British Raj,wikipedia
Person:chatrapur,Chatrapur,Person,Chatrapur,wikipedia
Person:madras_presidency,Madras Presidency,Person,Madras Presidency,wikipedia
Person:odisha,Odisha,Person,Odisha,wikipedia
Person:india,India,Person,India,wikipedia
Person:turing_s,Turing's,Person,Turing's,wikipedia
Person:rev,Rev,Person,Rev,wikipedia
Person:john_robert_turing,John Robert Turing,Person,John Robert Turing,wikipedia
Person:scottish,Scottish,Person,Scottish,wikipedia
Person:netherlands,Netherlands,Person,Netherlands,wikipedia
Person:julius_s,Julius's,Person,Julius's,wikipedia
Person:ethel_sara_turing,Ethel Sara Turing,Person,Ethel Sara Turing,wikipedia
Person:stoney,Stoney,Person,Stoney,wikipedia
Person:edward_waller_stoney,Edward Waller Stoney,Person,Edward Waller Stoney,wikipedia
Person:madras_railways,Madras Railways,Person,Madras Railways,wikipedia
Person:the_stoneys,The Stoneys,Person,The Stoneys,wikipedia
Person:protestant_anglo_irish,Protestant Anglo-Irish,Person,Protestant Anglo-Irish,wikipedia
Person:county_tipperary,County Tipperary,Person,County Tipperary,wikipedia
Person:county_longford,County Longford,Person,County Longford,wikipedia
Person:ethel,Ethel,Person,Ethel,wikipedia
Person:county_clare,County Clare,Person,County Clare,wikipedia
Person:julius,Julius,Person,Julius,wikipedia
Person:october,October,Person,October,wikipedia
Person:church,Church,Person,Church,wikipedia
Person:ireland_st,Ireland St,Person,Ireland St,wikipedia
Person:bartholomew_s_church,Bartholomew's Church,Person,Bartholomew's Church,wikipedia
Person:clyde_road,Clyde Road,Person,Clyde Road,wikipedia
Person:ballsbridge,Ballsbridge,Person,Ballsbridge,wikipedia
Person:dublin,Dublin,Person,Dublin,wikipedia
Person:british_india,British India,Person,British India,wikipedia
Person:bengal_army,Bengal Army,Person,Bengal Army,wikipedia
Person:however,However,Person,However,wikipedia
Person:britain,Britain,Person,Britain,wikipedia
Person:colonnade_hotel,Colonnade Hotel,Person,Colonnade Hotel,wikipedia
Person:john_ferrier_turing,John Ferrier Turing,Person,John Ferrier Turing,wikipedia
Person:dermot_turing,Dermot Turing,Person,Dermot Turing,wikipedia
Person:baronet,Baronet,Person,Baronet,wikipedia
Person:natural_wonders_every_child_should,Natural Wonders Every Child Should,Person,Natural Wonders Every Child Should,wikipedia
Person:know,Know,Person,Know,wikipedia
