seed_label,seed_title,requested_title,final_title,url,status,paragraph_count
Person,Alan Turing,Alan Turing,Alan Turing,https://en.wikipedia.org/wiki/Alan_Turing,ok,129
Person,Joan Clarke,Joan Clarke,Joan Clarke,https://en.wikipedia.org/wiki/Joan_Clarke,ok,31
Person,Alonzo Church,Alonzo Church,Alonzo Church,https://en.wikipedia.org/wiki/Alonzo_Church,ok,36
Person,John von Neumann,John von Neumann,John von Neumann,https://en.wikipedia.org/wiki/John_von_Neumann,ok,164
Person,Claude Shannon,Claude Shannon,Claude Shannon,https://en.wikipedia.org/wiki/Claude_Shannon,ok,81
Person,Max Newman,Max Newman,Max Newman,https://en.wikipedia.org/wiki/Max_Newman,ok,29
Person,Donald Michie,Donald Michie,Donald Michie,https://en.wikipedia.org/wiki/Donald_Michie,ok,11
Person,I. J. Good,I. J. Good,I. J. Good,https://en.wikipedia.org/wiki/I._J._Good,ok,32
Person,Gordon Welchman,Gordon Welchman,Gordon Welchman,https://en.wikipedia.org/wiki/Gordon_Welchman,ok,36
Person,Hugh Alexander,Hugh Alexander,Hugh E. Alexander,https://en.wikipedia.org/wiki/Hugh_E._Alexander,disambiguation_fallback,5
Person,Robin Gandy,Robin Gandy,Robin Gandy,https://en.wikipedia.org/wiki/Robin_Gandy,ok,6
Organization,"King's College, Cambridge","King's College, Cambridge","King's College, Cambridge","https://en.wikipedia.org/wiki/King%27s_College,_Cambridge",ok,64
Organization,University of Cambridge,University of Cambridge,University of Cambridge,https://en.wikipedia.org/wiki/University_of_Cambridge,ok,187
Organization,Princeton University,Princeton University,Princeton University,https://en.wikipedia.org/wiki/Princeton_University,ok,107
Organization,Bletchley Park,Bletchley Park,Bletchley Park,https://en.wikipedia.org/wiki/Bletchley_Park,ok,108
Organization,University of Manchester,University of Manchester,University of Manchester,https://en.wikipedia.org/wiki/University_of_Manchester,ok,86
Organization,Government Code and Cypher School,Government Code and Cypher School,Government Code and Cypher School,https://en.wikipedia.org/wiki/Government_Code_and_Cypher_School,ok,11
Organization,National Physical Laboratory (United Kingdom),National Physical Laboratory (United Kingdom),National Physical Laboratory (United Kingdom),https://en.wikipedia.org/wiki/National_Physical_Laboratory_(United_Kingdom),ok,33
Organization,Hut 8,Hut 8,Hut 8,https://en.wikipedia.org/wiki/Hut_8,ok,7
Organization,Bell Labs,Bell Labs,Bell Labs,https://en.wikipedia.org/wiki/Bell_Labs,ok,218
Organization,Foreign Office,Foreign Office,"Foreign, Commonwealth and Development Office","https://en.wikipedia.org/wiki/Foreign,_Commonwealth_and_Development_Office",ok,75
Location,London,London,London,https://en.wikipedia.org/wiki/London,ok,111
Location,Manchester,Manchester,Manchester,https://en.wikipedia.org/wiki/Manchester,ok,90
Location,"Princeton, New Jersey","Princeton, New Jersey","Princeton, New Jersey","https://en.wikipedia.org/wiki/Princeton,_New_Jersey",ok,84
Location,Maida Vale,Maida Vale,Maida Vale,https://en.wikipedia.org/wiki/Maida_Vale,ok,52
Location,Wilmslow,Wilmslow,Wilmslow,https://en.wikipedia.org/wiki/Wilmslow,ok,73
Location,Bletchley,Bletchley,Bletchley,https://en.wikipedia.org/wiki/Bletchley,ok,34
Location,Cambridge,Cambridge,Cambridge,https://en.wikipedia.org/wiki/Cambridge,ok,116
Location,Sherborne School,Sherborne School,Sherborne School,https://en.wikipedia.org/wiki/Sherborne_School,ok,64
Concept,Turing machine,Turing machine,Turing machine,https://en.wikipedia.org/wiki/Turing_machine,ok,128
Concept,Turing test,Turing test,Turing test,https://en.wikipedia.org/wiki/Turing_test,ok,119
Concept,Halting problem,Halting problem,Halting problem,https://en.wikipedia.org/wiki/Halting_problem,ok,133
Concept,Church-Turing thesis,Church-Turing thesis,Church–Turing thesis,https://en.wikipedia.org/wiki/Church%E2%80%93Turing_thesis,ok,72
Concept,Computability theory,Computability theory,Computability theory,https://en.wikipedia.org/wiki/Computability_theory,ok,68
Concept,Morphogenesis,Morphogenesis,Morphogenesis,https://en.wikipedia.org/wiki/Morphogenesis,ok,21
Concept,Universal Turing machine,Universal Turing machine,Universal Turing machine,https://en.wikipedia.org/wiki/Universal_Turing_machine,ok,32
Concept,Decision problem,Decision problem,Decision problem,https://en.wikipedia.org/wiki/Decision_problem,ok,25
Concept,Oracle machine,Oracle machine,Oracle machine,https://en.wikipedia.org/wiki/Oracle_machine,ok,29
Concept,Turing reduction,Turing reduction,Turing reduction,https://en.wikipedia.org/wiki/Turing_reduction,ok,30
Artifact,Bombe,Bombe,Bombe,https://en.wikipedia.org/wiki/Bombe,ok,73
Artifact,Automatic Computing Engine,Automatic Computing Engine,Automatic Computing Engine,https://en.wikipedia.org/wiki/Automatic_Computing_Engine,ok,19
Artifact,Enigma machine,Enigma machine,Enigma machine,https://en.wikipedia.org/wiki/Enigma_machine,ok,126
Artifact,Manchester Baby,Manchester Baby,Manchester Baby,https://en.wikipedia.org/wiki/Manchester_Baby,ok,39
Artifact,Colossus computer,Colossus computer,Colossus computer,https://en.wikipedia.org/wiki/Colossus_computer,ok,68
Artifact,Pilot ACE,Pilot ACE,Pilot ACE,https://en.wikipedia.org/wiki/Pilot_ACE,ok,18
Event,World War II,World War II,World War II,https://en.wikipedia.org/wiki/World_War_II,ok,130
Event,Cryptanalysis of the Enigma,Cryptanalysis of the Enigma,Cryptanalysis of the Enigma,https://en.wikipedia.org/wiki/Cryptanalysis_of_the_Enigma,ok,184
Event,Alan Turing law,Alan Turing law,Alan Turing law,https://en.wikipedia.org/wiki/Alan_Turing_law,ok,14
Event,Royal pardon,Royal pardon,Royal prerogative of mercy,https://en.wikipedia.org/wiki/Royal_prerogative_of_mercy,ok,25
Event,Turing centenary,Turing centenary,Turing centenary,,page_not_found,0
Event,Prosecution of Alan Turing,Prosecution of Alan Turing,Prosecution of Alan Turing,,page_not_found,0
Event,Second Boer War,Second Boer War,Second Boer War,https://en.wikipedia.org/wiki/Second_Boer_War,ok,163
Publication,On Computable Numbers,On Computable Numbers,Turing's proof,https://en.wikipedia.org/wiki/Turing%27s_proof,ok,130
Publication,Computing Machinery and Intelligence,Computing Machinery and Intelligence,Computing Machinery and Intelligence,https://en.wikipedia.org/wiki/Computing_Machinery_and_Intelligence,ok,52
Publication,Systems of Logic Based on Ordinals,Systems of Logic Based on Ordinals,Systems of Logic Based on Ordinals,https://en.wikipedia.org/wiki/Systems_of_Logic_Based_on_Ordinals,ok,11
Publication,The Chemical Basis of Morphogenesis,The Chemical Basis of Morphogenesis,The Chemical Basis of Morphogenesis,https://en.wikipedia.org/wiki/The_Chemical_Basis_of_Morphogenesis,ok,3
Publication,Intelligent Machinery,Intelligent Machinery,Intelligent Machinery,,page_not_found,0
Publication,Can Digital Computers Think?,Can Digital Computers Think?,Can Digital Computers Think?,,page_not_found,0
Publication,The Applications of Probability to Cryptography,The Applications of Probability to Cryptography,The Applications of Probability to Cryptography,,page_not_found,0
Honor,Turing Award,Turing Award,Turing Award,https://en.wikipedia.org/wiki/Turing_Award,ok,4
Honor,Order of the British Empire,Order of the British Empire,Order of the British Empire,https://en.wikipedia.org/wiki/Order_of_the_British_Empire,ok,74
Honor,Bank of England 50 note,Bank of England 50 note,Bank of England 50 note,,page_not_found,0
Honor,Alan Turing Year,Alan Turing Year,Alan Turing Year,https://en.wikipedia.org/wiki/Alan_Turing_Year,ok,19
Person,Alan Turing,1926 United Kingdom general strike,1926 United Kingdom general strike,https://en.wikipedia.org/wiki/1926_United_Kingdom_general_strike,ok,85
Person,Alan Turing,A. P. Mahon,Cyril Patrick Mahon,https://en.wikipedia.org/wiki/Cyril_Patrick_Mahon,ok,5
Person,Alan Turing,AI Futures Project,AI Futures Project,https://en.wikipedia.org/wiki/AI_Futures_Project,ok,10
Person,Alan Turing,AI alignment,AI alignment,https://en.wikipedia.org/wiki/AI_alignment,ok,72
Person,Joan Clarke,87th Academy Awards,87th Academy Awards,https://en.wikipedia.org/wiki/87th_Academy_Awards,ok,35
Person,Joan Clarke,ARA Santa Fe (S-21),ARA Santa Fe (S-21),https://en.wikipedia.org/wiki/ARA_Santa_Fe_(S-21),ok,16
Person,Joan Clarke,Academy Award for Best Supporting Actress,Academy Award for Best Supporting Actress,https://en.wikipedia.org/wiki/Academy_Award_for_Best_Supporting_Actress,ok,18
Person,Alonzo Church,A. C. Croom,A. C. Croom,https://en.wikipedia.org/wiki/A._C._Croom,ok,2
Person,Alonzo Church,A. J. Ayer,A. J. Ayer,https://en.wikipedia.org/wiki/A._J._Ayer,ok,54
Person,Alonzo Church,ACM SIGLOG,ACM SIGLOG,https://en.wikipedia.org/wiki/ACM_SIGLOG,ok,13
Person,Alonzo Church,Actualism,Actualism,https://en.wikipedia.org/wiki/Actualism,ok,27
Person,Alonzo Church,Adolf Grünbaum,Adolf Grünbaum,https://en.wikipedia.org/wiki/Adolf_Gr%C3%BCnbaum,ok,23
Person,John von Neumann,*-algebra,*-algebra,https://en.wikipedia.org/wiki/*-algebra,ok,32
Person,John von Neumann,22824 von Neumann,List of minor planets: 22001–23000,https://en.wikipedia.org/wiki/List_of_minor_planets:_22001%E2%80%9323000,ok,3
Person,John von Neumann,509th Composite Group,509th Composite Group,https://en.wikipedia.org/wiki/509th_Composite_Group,ok,62
Person,John von Neumann,557th Weather Wing,557th Weather Wing,https://en.wikipedia.org/wiki/557th_Weather_Wing,ok,58
Person,John von Neumann,AVIDAC,AVIDAC,https://en.wikipedia.org/wiki/AVIDAC,ok,4
Person,Claude Shannon,A. Paul Alivisatos,Paul Alivisatos,https://en.wikipedia.org/wiki/Paul_Alivisatos,ok,32
Person,Claude Shannon,AT&T Corporation,AT&T Corporation,https://en.wikipedia.org/wiki/AT%26T_Corporation,ok,50
Person,Claude Shannon,AT&T Fellow,AT&T Fellow,,page_not_found,0
Person,Claude Shannon,AT&T Laboratories,AT&T Labs,https://en.wikipedia.org/wiki/AT%26T_Labs,ok,10
Person,Claude Shannon,A Mathematical Theory of Communication,A Mathematical Theory of Communication,https://en.wikipedia.org/wiki/A_Mathematical_Theory_of_Communication,ok,11
Person,Max Newman,A. G. Greenhill,Alfred George Greenhill,https://en.wikipedia.org/wiki/Alfred_George_Greenhill,ok,12
Person,Max Newman,A. S. Besicovitch,Abram Besicovitch,https://en.wikipedia.org/wiki/Abram_Besicovitch,ok,9
Person,Max Newman,Alan Turing Building,Alan Turing Building,https://en.wikipedia.org/wiki/Alan_Turing_Building,ok,11
Person,Max Newman,Albrecht Fröhlich,Albrecht Fröhlich,https://en.wikipedia.org/wiki/Albrecht_Fr%C3%B6hlich,ok,4
Person,Donald Michie,American Academy of Arts and Sciences,American Academy of Arts and Sciences,https://en.wikipedia.org/wiki/American_Academy_of_Arts_and_Sciences,ok,13
Person,Donald Michie,Andrew Blake (scientist),Andrew Blake (computer scientist),https://en.wikipedia.org/wiki/Andrew_Blake_(computer_scientist),ok,6
Person,Donald Michie,Anne McLaren,Anne McLaren,https://en.wikipedia.org/wiki/Anne_McLaren,ok,28
Person,Donald Michie,Artificial intelligence,Artificial intelligence,https://en.wikipedia.org/wiki/Artificial_intelligence,ok,177
Person,I. J. Good,2001: A Space Odyssey (film),2001: A Space Odyssey,https://en.wikipedia.org/wiki/2001:_A_Space_Odyssey,ok,96
Person,I. J. Good,ASIN (identifier),Amazon Standard Identification Number,https://en.wikipedia.org/wiki/Amazon_Standard_Identification_Number,ok,2
Person,I. J. Good,Academy of Motion Picture Arts and Sciences,Academy of Motion Picture Arts and Sciences,https://en.wikipedia.org/wiki/Academy_of_Motion_Picture_Arts_and_Sciences,ok,53
Person,I. J. Good,Adrian Raftery,Adrian Raftery,https://en.wikipedia.org/wiki/Adrian_Raftery,ok,7
Person,Gordon Welchman,Action This Day (memo),Action This Day (memo),https://en.wikipedia.org/wiki/Action_This_Day_(memo),ok,32
Person,Gordon Welchman,Alastair Denniston,Alastair Denniston,https://en.wikipedia.org/wiki/Alastair_Denniston,ok,24
Person,Gordon Welchman,Alexander Korda,Alexander Korda,https://en.wikipedia.org/wiki/Alexander_Korda,ok,63
Person,Gordon Welchman,Allen Lane,Allen Lane,https://en.wikipedia.org/wiki/Allen_Lane,ok,23
Person,Hugh Alexander,1904–1905 Welsh Revival,1904–1905 Welsh revival,https://en.wikipedia.org/wiki/1904%E2%80%931905_Welsh_revival,ok,34
Person,Hugh Alexander,Action Biblique,Action Biblique,,page_not_found,0
Person,Hugh Alexander,Brazil,Brazil,https://en.wikipedia.org/wiki/Brazil,ok,158
Person,Hugh Alexander,Dwight L. Moody,Dwight L. Moody,https://en.wikipedia.org/wiki/Dwight_L._Moody,ok,39
Person,Hugh Alexander,Geneva Bible School,Geneva Bible School,,page_not_found,0
Person,Robin Gandy,Abbotsholme School,Abbotsholme School,https://en.wikipedia.org/wiki/Abbotsholme_School,ok,10
Person,Robin Gandy,Alan Turing: The Enigma,Alan Turing: The Enigma,https://en.wikipedia.org/wiki/Alan_Turing:_The_Enigma,ok,4
Person,Robin Gandy,Andrew Hodges,Andrew Hodges,https://en.wikipedia.org/wiki/Andrew_Hodges,ok,7
Person,Robin Gandy,Cambridge Apostles,Cambridge Apostles,https://en.wikipedia.org/wiki/Cambridge_Apostles,ok,12
Organization,"King's College, Cambridge",ADC Theatre,ADC Theatre,https://en.wikipedia.org/wiki/ADC_Theatre,ok,18
Organization,"King's College, Cambridge",ARM Holdings,Arm Holdings,https://en.wikipedia.org/wiki/Arm_Holdings,ok,43
Organization,"King's College, Cambridge",A cappella,A cappella,https://en.wikipedia.org/wiki/A_cappella,ok,54
Organization,"King's College, Cambridge",Acorn Computers,Acorn Computers,https://en.wikipedia.org/wiki/Acorn_Computers,ok,93
Organization,"King's College, Cambridge","Adoration of the Magi (Rubens, Cambridge)","Adoration of the Magi (Rubens, Cambridge)","https://en.wikipedia.org/wiki/Adoration_of_the_Magi_(Rubens,_Cambridge)",ok,7
Organization,University of Cambridge,2010 United Kingdom student protests,2010 United Kingdom student protests,https://en.wikipedia.org/wiki/2010_United_Kingdom_student_protests,ok,67
Organization,University of Cambridge,28 Days Later,28 Days Later,https://en.wikipedia.org/wiki/28_Days_Later,ok,41
Organization,University of Cambridge,A-Levels,A-level,https://en.wikipedia.org/wiki/A-level,ok,45
Organization,University of Cambridge,A-level (United Kingdom),A-level (United Kingdom),https://en.wikipedia.org/wiki/A-level_(United_Kingdom),ok,64
Organization,University of Cambridge,A. A. Milne,A. A. Milne,https://en.wikipedia.org/wiki/A._A._Milne,ok,48
Organization,Princeton University,1869 New Jersey vs. Rutgers football game,1869 Princeton vs. Rutgers football game,https://en.wikipedia.org/wiki/1869_Princeton_vs._Rutgers_football_game,ok,32
Organization,Princeton University,1922 Princeton vs. Chicago football game,1922 Princeton vs. Chicago football game,https://en.wikipedia.org/wiki/1922_Princeton_vs._Chicago_football_game,ok,6
Organization,Princeton University,1996 NCAA Men's Division I Basketball Tournament,1996 NCAA Division I men's basketball tournament,https://en.wikipedia.org/wiki/1996_NCAA_Division_I_men%27s_basketball_tournament,ok,31
Organization,Princeton University,2012 Summer Olympics,2012 Summer Olympics,https://en.wikipedia.org/wiki/2012_Summer_Olympics,ok,93
Organization,Princeton University,600 (New Jersey bus),List of NJ Transit bus routes (600–699),https://en.wikipedia.org/wiki/List_of_NJ_Transit_bus_routes_(600%E2%80%93699),ok,3
Organization,Bletchley Park,1943 BRUSA Agreement,1943 BRUSA Agreement,https://en.wikipedia.org/wiki/1943_BRUSA_Agreement,ok,11
Organization,Bletchley Park,A5 road (Great Britain),A5 road (Great Britain),https://en.wikipedia.org/wiki/A5_road_(Great_Britain),ok,20
Organization,Bletchley Park,Abwehr,Abwehr,https://en.wikipedia.org/wiki/Abwehr,ok,73
Organization,Bletchley Park,Acre,Acre,https://en.wikipedia.org/wiki/Acre,ok,28
Organization,University of Manchester,2002 Commonwealth Games,2002 Commonwealth Games,https://en.wikipedia.org/wiki/2002_Commonwealth_Games,ok,59
Organization,University of Manchester,2020 University of Manchester protests,2020 University of Manchester protests,https://en.wikipedia.org/wiki/2020_University_of_Manchester_protests,ok,12
Organization,University of Manchester,2023 University of Manchester protests,2023 University of Manchester protests,https://en.wikipedia.org/wiki/2023_University_of_Manchester_protests,ok,25
Organization,Government Code and Cypher School,54 Broadway,54 Broadway,https://en.wikipedia.org/wiki/54_Broadway,ok,4
Organization,Government Code and Cypher School,"Adelphi, London","Adelphi, London","https://en.wikipedia.org/wiki/Adelphi,_London",ok,38
